Epoch,Training RMSE,Validation RMSE,Hidden Size,Number of Layers,Learning Rate,Sequence Length,Batch Size
200,0.1058,0.4770,64,1,0.001,60,32
250,0.1094,0.4694,64,1,0.001,60,32
300,0.0850,0.4515,64,1,0.001,60,32
350,0.0795,0.4524,64,1,0.001,60,32
400,0.0740,0.4584,64,1,0.001,60,32
450,0.0766,0.4368,64,1,0.001,60,32
500,0.0820,0.4622,64,1,0.001,60,32
550,0.0693,0.4576,64,1,0.001,60,32
600,0.0664,0.4356,64,1,0.001,60,32
50,0.4234,0.4730,64,2,1e-05,60,32
100,0.3715,0.4486,64,2,1e-05,60,32
150,0.3344,0.4339,64,2,1e-05,60,32
200,0.2997,0.4118,64,2,1e-05,60,32
250,0.2715,0.4027,64,2,1e-05,60,32
300,0.2498,0.3982,64,2,1e-05,60,32
350,0.2345,0.3952,64,2,1e-05,60,32
400,0.2232,0.3942,64,2,1e-05,60,32
450,0.2146,0.3942,64,2,1e-05,60,32
500,0.2077,0.3945,64,2,1e-05,60,32
550,0.2018,0.3946,64,2,1e-05,60,32
600,0.1966,0.3944,64,2,1e-05,60,32
50,0.3069,0.4018,64,2,5e-05,60,32
100,0.2378,0.4023,64,2,5e-05,60,32
150,0.1978,0.4596,64,2,5e-05,60,32
200,0.1732,0.4165,64,2,5e-05,60,32
250,0.1698,0.3993,64,2,5e-05,60,32
300,0.1476,0.4035,64,2,5e-05,60,32
350,0.1425,0.3968,64,2,5e-05,60,32
400,0.1363,0.4044,64,2,5e-05,60,32
450,0.1242,0.4102,64,2,5e-05,60,32
500,0.1111,0.4207,64,2,5e-05,60,32
550,0.1206,0.4299,64,2,5e-05,60,32
600,0.1030,0.4331,64,2,5e-05,60,32
50,0.2671,0.3950,64,2,0.0001,60,32
100,0.1843,0.4715,64,2,0.0001,60,32
150,0.1547,0.4202,64,2,0.0001,60,32
200,0.1351,0.4339,64,2,0.0001,60,32
250,0.1199,0.4519,64,2,0.0001,60,32
300,0.1043,0.4624,64,2,0.0001,60,32
350,0.0997,0.4693,64,2,0.0001,60,32
400,0.0892,0.4703,64,2,0.0001,60,32
450,0.0799,0.4772,64,2,0.0001,60,32
500,0.0831,0.4778,64,2,0.0001,60,32
550,0.0766,0.4839,64,2,0.0001,60,32
600,0.0760,0.4754,64,2,0.0001,60,32
50,0.1626,0.4379,64,2,0.0003,60,32
100,0.1451,0.4839,64,2,0.0003,60,32
150,0.1055,0.4378,64,2,0.0003,60,32
200,0.0898,0.4469,64,2,0.0003,60,32
250,0.1018,0.4557,64,2,0.0003,60,32
300,0.1070,0.4618,64,2,0.0003,60,32
350,0.0771,0.4339,64,2,0.0003,60,32
400,0.0691,0.4373,64,2,0.0003,60,32
450,0.0664,0.4344,64,2,0.0003,60,32
500,0.0670,0.4444,64,2,0.0003,60,32
550,0.0623,0.4417,64,2,0.0003,60,32
600,0.0658,0.4400,64,2,0.0003,60,32
50,0.1598,0.4448,64,2,0.0005,60,32
100,0.1276,0.4459,64,2,0.0005,60,32
150,0.0906,0.4491,64,2,0.0005,60,32
200,0.0831,0.4505,64,2,0.0005,60,32
250,0.0787,0.4399,64,2,0.0005,60,32
300,0.0909,0.4447,64,2,0.0005,60,32
350,0.0753,0.4371,64,2,0.0005,60,32
400,0.0756,0.4398,64,2,0.0005,60,32
450,0.0660,0.4433,64,2,0.0005,60,32
500,0.0644,0.4343,64,2,0.0005,60,32
550,0.0620,0.4522,64,2,0.0005,60,32
600,0.0618,0.4572,64,2,0.0005,60,32
50,0.1731,0.4043,64,2,0.001,60,32
100,0.1268,0.4227,64,2,0.001,60,32
150,0.0986,0.4150,64,2,0.001,60,32
200,0.0839,0.4318,64,2,0.001,60,32
250,0.0754,0.4162,64,2,0.001,60,32
300,0.0751,0.4231,64,2,0.001,60,32
350,0.0825,0.4157,64,2,0.001,60,32
400,0.0720,0.4121,64,2,0.001,60,32
450,0.0434,0.4216,64,2,0.001,60,32
500,0.0548,0.4102,64,2,0.001,60,32
550,0.0568,0.4073,64,2,0.001,60,32
600,0.0694,0.4265,64,2,0.001,60,32
50,0.4096,0.4722,64,3,1e-05,60,32
100,0.3648,0.4663,64,3,1e-05,60,32
150,0.3271,0.4347,64,3,1e-05,60,32
200,0.2953,0.4150,64,3,1e-05,60,32
250,0.2720,0.4151,64,3,1e-05,60,32
300,0.2538,0.4145,64,3,1e-05,60,32
350,0.2381,0.4133,64,3,1e-05,60,32
400,0.2257,0.4134,64,3,1e-05,60,32
450,0.2163,0.4139,64,3,1e-05,60,32
500,0.2081,0.4129,64,3,1e-05,60,32
550,0.2002,0.4099,64,3,1e-05,60,32
600,0.1923,0.4053,64,3,1e-05,60,32
50,0.3095,0.4101,64,3,5e-05,60,32
100,0.2364,0.4190,64,3,5e-05,60,32
150,0.1979,0.4166,64,3,5e-05,60,32
200,0.1610,0.4064,64,3,5e-05,60,32
250,0.1526,0.4169,64,3,5e-05,60,32
300,0.1328,0.4073,64,3,5e-05,60,32
350,0.1271,0.4056,64,3,5e-05,60,32
400,0.1171,0.4090,64,3,5e-05,60,32
450,0.1103,0.4197,64,3,5e-05,60,32
500,0.1135,0.4178,64,3,5e-05,60,32
550,0.1049,0.4179,64,3,5e-05,60,32
600,0.1018,0.4242,64,3,5e-05,60,32
50,0.2668,0.4057,64,3,0.0001,60,32
100,0.1758,0.4072,64,3,0.0001,60,32
150,0.1685,0.3949,64,3,0.0001,60,32
200,0.1370,0.4016,64,3,0.0001,60,32
250,0.1220,0.4164,64,3,0.0001,60,32
300,0.1147,0.4224,64,3,0.0001,60,32
350,0.0939,0.4235,64,3,0.0001,60,32
400,0.0974,0.4269,64,3,0.0001,60,32
450,0.0765,0.4288,64,3,0.0001,60,32
500,0.0703,0.4317,64,3,0.0001,60,32
550,0.0828,0.4334,64,3,0.0001,60,32
600,0.0904,0.4353,64,3,0.0001,60,32
50,0.1916,0.4226,64,3,0.0003,60,32
100,0.1260,0.4608,64,3,0.0003,60,32
150,0.1132,0.4621,64,3,0.0003,60,32
200,0.0800,0.4633,64,3,0.0003,60,32
250,0.0862,0.4588,64,3,0.0003,60,32
300,0.0702,0.4474,64,3,0.0003,60,32
350,0.0738,0.4527,64,3,0.0003,60,32
400,0.0594,0.4491,64,3,0.0003,60,32
450,0.0835,0.4510,64,3,0.0003,60,32
500,0.0571,0.4527,64,3,0.0003,60,32
550,0.0606,0.4556,64,3,0.0003,60,32
600,0.0535,0.4543,64,3,0.0003,60,32
50,0.1945,0.4502,64,3,0.0005,60,32
100,0.1442,0.4132,64,3,0.0005,60,32
150,0.1182,0.4288,64,3,0.0005,60,32
200,0.0981,0.4484,64,3,0.0005,60,32
250,0.0689,0.4424,64,3,0.0005,60,32
300,0.0700,0.4320,64,3,0.0005,60,32
350,0.0715,0.4315,64,3,0.0005,60,32
400,0.0695,0.4260,64,3,0.0005,60,32
450,0.0684,0.4360,64,3,0.0005,60,32
500,0.0476,0.4294,64,3,0.0005,60,32
550,0.0497,0.4334,64,3,0.0005,60,32
600,0.0383,0.4434,64,3,0.0005,60,32
50,0.2647,0.3939,64,3,0.001,60,32
100,0.1387,0.4101,64,3,0.001,60,32
150,0.1107,0.4087,64,3,0.001,60,32
200,0.0732,0.4153,64,3,0.001,60,32
250,0.0975,0.4137,64,3,0.001,60,32
300,0.0680,0.4120,64,3,0.001,60,32
350,0.0632,0.4091,64,3,0.001,60,32
400,0.0584,0.4131,64,3,0.001,60,32
450,0.0553,0.4122,64,3,0.001,60,32
500,0.0523,0.4202,64,3,0.001,60,32
550,0.0489,0.4140,64,3,0.001,60,32
600,0.0528,0.4197,64,3,0.001,60,32
50,0.5930,0.6012,16,3,1e-05,60,32
100,0.4721,0.5157,16,3,1e-05,60,32
150,0.4331,0.4705,16,3,1e-05,60,32
